日付,2021_5_30__23_34_56
年齢,12
性別,男性
右手
スコア(秒),21.08918
時間,手の甲の位置,,手の力_親指,人差し指...
time(s),x,y,z
2.804591,-58.56726, 433.308, 64.77601
2.811077,-58.92478, 434.1451, 64.65675
2.818595,-59.30529, 435.1654, 64.61584
2.825487,-59.68079, 436.3079, 64.69286
2.830613,-60.07806, 437.3995, 64.79189
2.83839,-60.07806, 437.3995, 64.79189
2.84432,-60.36265, 438.4528, 64.91257
2.851297,-60.57996, 439.3571, 64.97361
2.857543,-60.8388, 440.075, 65.05742
2.863267,-60.8388, 440.075, 65.05742
2.870214,-60.98294, 440.6787, 65.12511
2.875366,-61.12057, 441.0452, 65.28618
2.882143,-60.29902, 437.7861, 65.55307
2.888906,-59.90015, 436.5471, 65.69047
2.895684,-59.30574, 435.1347, 65.82865
2.903175,-58.58488, 433.6676, 66.00676
2.908451,-58.58488, 433.6676, 66.00676
2.916398,-57.77334, 432.208, 66.29903
2.922575,-56.82217, 430.5766, 66.49557
2.930236,-55.72846, 429.0962, 66.81012
2.937469,-54.58686, 428.2555, 67.25654
2.942629,-54.58686, 428.2555, 67.25654
2.962193,-53.27028, 427.2709, 67.59278
2.970641,-51.83011, 426.2463, 67.75677
2.977597,-50.34306, 425.5744, 68.26701
2.985343,-49.04215, 425.2217, 68.55497
2.993024,-47.67085, 425.093, 68.92081
2.998293,-47.67085, 425.093, 68.92081
3.005207,-46.23032, 424.8944, 69.11013
3.010963,-44.77197, 424.5248, 69.40678
3.018068,-43.51815, 424.6768, 69.75935
3.024082,-42.21664, 424.9771, 70.01457
3.029434,-42.21664, 424.9771, 70.01457
3.037227,-40.87891, 425.1743, 69.94385
3.043272,-39.38963, 425.1273, 69.85742
3.05032,-37.88869, 425.498, 69.6532
3.056591,-36.42242, 426.2592, 69.4677
3.063526,-36.42242, 426.2592, 69.4677
3.071612,-34.85459, 426.8484, 69.14192
3.077278,-33.10524, 426.3509, 68.68846
3.084958,-33.10524, 426.3509, 68.68846
3.091278,-31.32676, 426.6973, 68.7262
3.097309,-29.70566, 427.0295, 68.90194
3.10437,-28.07842, 427.4763, 69.53831
3.109438,-26.52676, 428.215, 70.25275
3.116907,-26.52676, 428.215, 70.25275
3.123019,-24.94814, 429.1568, 71.21342
3.130544,-23.46661, 429.7605, 71.78534
3.137997,-22.09846, 430.0601, 72.61179
3.144334,-20.46264, 430.011, 73.50671
3.151821,-20.46264, 430.011, 73.50671
3.158808,-18.70498, 429.8228, 74.97891
3.164683,-16.9911, 429.7973, 76.80431
3.171747,-15.04605, 429.6635, 78.75555
3.176842,-13.05531, 429.0327, 81.04196
3.184246,-13.05531, 429.0327, 81.04196
3.19102,-11.06988, 428.3075, 83.45818
3.196257,-9.239315, 427.3479, 86.15704
3.203997,-7.533994, 426.6647, 88.4658
3.210086,-7.533994, 426.6647, 88.4658
3.217106,-6.101268, 426.0572, 90.90963
3.222636,-5.066475, 425.88, 93.20447
3.229359,-5.066475, 425.88, 93.20447
3.236956,-3.930219, 425.2643, 94.95638
3.242836,-2.887958, 424.7818, 96.01236
3.248646,-1.948794, 424.4332, 96.62263
3.255074,-0.9925004, 423.9649, 97.09647
3.262795,-0.9925004, 423.9649, 97.09647
3.270013,-0.1467985, 423.5474, 97.5713
3.275254,0.6861781, 423.4025, 97.97305
3.283738,1.591198, 423.4732, 98.19884
3.289383,1.591198, 423.4732, 98.19884
3.298526,2.452095, 423.6502, 98.45734
3.307141,3.212138, 423.6315, 98.59722
3.31543,3.960181, 423.4968, 98.79408
3.321962,3.960181, 423.4968, 98.79408
3.32873,4.577882, 423.1136, 99.01571
3.33556,5.069555, 423.0482, 99.46075
3.341228,5.39566, 423.0796, 100.0571
3.348613,5.619369, 423.4178, 100.7939
3.354725,5.619369, 423.4178, 100.7939
3.363756,5.634953, 423.9153, 101.4692
3.371838,5.535633, 424.4826, 101.9413
3.37755,5.452373, 425.1709, 102.5397
3.385459,5.452373, 425.1709, 102.5397
3.392819,5.258915, 425.894, 103.4266
3.398861,4.963579, 426.7675, 104.3171
3.406183,4.540537, 427.7314, 105.2307
3.41328,3.879092, 428.7754, 106.0983
3.419397,3.879092, 428.7754, 106.0983
3.426954,2.818384, 429.8158, 106.9591
3.432522,1.392815, 431.755, 107.8605
3.440202,1.392815, 431.755, 107.8605
3.446526,-0.2229835, 433.9882, 108.8887
3.452878,-2.256755, 435.8425, 109.7877
3.460238,-4.519224, 438.1169, 110.7645
3.465542,-9.632215, 441.7624, 112.5957
3.472931,-12.6507, 442.9815, 113.262
3.479724,-16.08142, 443.278, 113.9905
